collection_handle,product_id
most-popular,9realms:9366431859025
most-popular,9realms:9804786008401
most-popular,9realms:9729472135505
most-popular,9realms:9400720490833
most-popular,9realms:8879704375633
most-popular,9realms:8879710732625
most-popular,9realms:9729511063889
most-popular,9realms:10231936123217
most-popular,9realms:9981068673361
most-popular,9realms:9312086982993
most-popular,9realms:8879705162065
cbd-bundles,9realms:10050377908561
cbd-bundles,9realms:10050383315281
cbd-bundles,9realms:10050379022673
cbd-bundles,9realms:10050378662225
cbd-bundles,9realms:10050380857681
cbd-bundles,9realms:10050378531153
thc-flower,9realms:10050383315281
thc-flower,9realms:9400720490833
thc-flower,9realms:8879706669393
thc-flower,9realms:8879704375633
thc-flower,9realms:8879710732625
thc-flower,9realms:10231936123217
thc-flower,9realms:9981068673361
thc-flower,9realms:8879705162065
thc-joints-buy,9realms:9729472135505
thc-joints-buy,9realms:9729466007889
thc-joints-buy,9realms:10050380857681
thc-joints-buy,9realms:9729511063889
diffusers,9realms:9366431859025
diffusers,9realms:9366470492497
diffusers,9realms:9882885816657
buy-hash,9realms:10605691830609
buy-hash,9realms:10605644382545
buy-hash,9realms:10605489193297
gummies,9realms:9804786008401
gummies,9realms:10050379022673
gummies,9realms:9804779585873
gummies,9realms:9804806226257
gummies,9realms:9312086982993
light,9realms:10050378662225
light,9realms:9366470492497
light,9realms:9804779585873
light,9realms:9729466007889
light,9realms:9981068673361
light,9realms:10605489193297
classic,9realms:10050377908561
classic,9realms:9366431859025
classic,9realms:9804786008401
classic,9realms:9729472135505
classic,9realms:10605644382545
classic,9realms:9400720490833
classic,9realms:8879706669393
classic,9realms:8879710732625
classic,9realms:10231936123217
pro,9realms:10605691830609
pro,9realms:8879704375633
pro,9realms:10050378531153
pro,9realms:9882885816657
pro,9realms:9804806226257
pro,9realms:9729511063889
pro,9realms:8879705162065
buy-t9hc,9realms:10605691830609
buy-t9hc,9realms:9366431859025
buy-t9hc,9realms:9804786008401
buy-t9hc,9realms:9729472135505
buy-t9hc,9realms:10605644382545
buy-t9hc,9realms:10050383315281
buy-t9hc,9realms:9400720490833
buy-t9hc,9realms:8879706669393
buy-t9hc,9realms:8879704375633
buy-t9hc,9realms:9366470492497
buy-t9hc,9realms:9804779585873
buy-t9hc,9realms:9729466007889
buy-t9hc,9realms:8879710732625
buy-t9hc,9realms:9882885816657
buy-t9hc,9realms:9804806226257
buy-t9hc,9realms:9729511063889
buy-t9hc,9realms:10231936123217
buy-t9hc,9realms:9981068673361
buy-t9hc,9realms:10605489193297
buy-t9hc,9realms:8879705162065
thc,9realms:10605691830609
thc,9realms:9366431859025
thc,9realms:9804786008401
thc,9realms:9729472135505
thc,9realms:10605644382545
thc,9realms:9366470492497
thc,9realms:9804779585873
thc,9realms:9729466007889
thc,9realms:9882885816657
thc,9realms:9804806226257
thc,9realms:9729511063889
thc,9realms:10605489193297
thc,9realms:9312086982993
thcp,9realms:9366431859025
thcp,9realms:9804786008401
thcp,9realms:9729472135505
thcp,9realms:9400720490833
thcp,9realms:8879704375633
thcp,9realms:9366470492497
thcp,9realms:9804779585873
thcp,9realms:9729466007889
thcp,9realms:9804806226257
thcp,9realms:9729511063889
thcp,9realms:8879705162065
10-oh-hhc,9realms:10605691830609
10-oh-hhc,9realms:9366431859025
10-oh-hhc,9realms:9804786008401
10-oh-hhc,9realms:9729472135505
10-oh-hhc,9realms:10605644382545
10-oh-hhc,9realms:10050383315281
10-oh-hhc,9realms:9400720490833
10-oh-hhc,9realms:8879706669393
10-oh-hhc,9realms:9366470492497
10-oh-hhc,9realms:9804779585873
10-oh-hhc,9realms:9729466007889
10-oh-hhc,9realms:8879710732625
10-oh-hhc,9realms:10231936123217
10-oh-hhc,9realms:9981068673361
10-oh-hhc,9realms:10605489193297
flower,happydays:5e078927f56c500b
flower,happydays:1176cd7a2ebbd375
pre-rolls,happydays:9323927bbd4772ad
flower,happydays:a75a0a585f82fd5a
flower,happydays:2a52b821cafd7d79
flower,happydays:83dc4ccc6034d636
vaporizers,happydays:eba5c93496dd3ab6
pre-rolls,happydays:ba8ce16e21e20d3f
vaporizers,happydays:659700cd7d43d7b1
vaporizers,happydays:91b856dd7891619d
flower,happydays:860a4b7339cde9fd
flower,happydays:23481910402bb528
vaporizers,happydays:725428fa60077625
flower,happydays:4f21ee0fd983f08e
pre-rolls,happydays:cf5e98bd04055a76
flower,happydays:a30da33c4e314930
pre-rolls,happydays:b1ef62785f530b8a
pre-rolls,happydays:73ef75bc92caec30
pre-rolls,happydays:1da6dc8a0a46f4af
pre-rolls,happydays:b650bf678c50a551
pre-rolls,happydays:ece5365eb7bf2f7c
pre-rolls,happydays:dde6124fd9a2d781
flower,happydays:b8ec1032092726f8
flower,happydays:a7b245fc2b863def
concentrates,happydays:acc41defe413fd2b
concentrates,happydays:788cbfe085f36663
flower,happydays:ae6e8cf28432944e
flower,happydays:350aa515df985965
edibles,happydays:646fcd9c12adb3a6
edibles,happydays:ce4dcf0ea2ca2e14
edibles,happydays:72dd00ac362b6168
edibles,happydays:2f6ac7fc40648342
flower,happydays:72924afde5f5b2a7
flower,happydays:5a6c6b74cc68abf1
flower,happydays:ec9991c425d0f1e8
flower,happydays:7efa9623deb5aa97
flower,happydays:7d7fda5dd5a31b00
pre-rolls,happydays:5d8706e688ac5d47
pre-rolls,happydays:4dfb915756df2f8d
vaporizers,happydays:85dbc4a9016a3a0a
flower,happydays:d525aefcd6bfd6ed
flower,happydays:f868d093aa101274
accessories,happydays:5e1c3c0d7a1b9e55
vaporizers,happydays:84c9a2e8accad517
concentrates,happydays:6817452a19c4ca0c
concentrates,happydays:aeff868dc8d16d85
pre-rolls,happydays:bc7125e791b2ed40
pre-rolls,happydays:6ea03bbc1ac214ee
concentrates,happydays:b0f8d622507ef55e
flower,happydays:bcd4aac7877779fa
flower,happydays:00a388cb3aef2ae5
flower,happydays:3403dcb4b120edd8
flower,happydays:c526f172b6205673
vaporizers,happydays:0c5e083618eb0a1e
vaporizers,happydays:4fa016fabff7a4b6
flower,happydays:928e832d9e09df7c
flower,happydays:a0e5441b6b64a64e
pre-rolls,happydays:36297705a614c829
vaporizers,happydays:337d376c2d9c2bb8
pre-rolls,happydays:381eba114de0a139
pre-rolls,happydays:cf1633ff74238135
pre-rolls,happydays:816e44760fd2f2e3
edibles,happydays:7256a8e9c35fbc3a
flower,happydays:abb6e4db2efe51ad
flower,happydays:1af242875d1cc285
flower,happydays:abf6a2e773223941
flower,happydays:a86d3907a108f69e
flower,happydays:b2065372869bcec8
concentrates,happydays:640fc6862e6aad38
concentrates,happydays:518c7c73b1584a53
pre-rolls,happydays:72810eec6547c953
edibles,happydays:4a47859120f19d21
pre-rolls,happydays:e7aed4870f394b8b
flower,happydays:a5248af896782157
