id,source,handle,title,url,description,vendor,product_type,available,price,compare_at_price,featured_image,tags,cannabis_type,effects,is_featured,is_new,units_sold,meta_description
9realms:9366431859025,9realms,classic-diffuser,CLASSIC Diffuser (1 ml),https://9realms.eu/products/classic-diffuser,"<p class=""MsoNormal"">Meet our customer favorite and flagship model, CLASSIC. This premium diffuser combines T9HC with CBG CRD, creating a fully cannabis-derived experience enhanced by natural terpenes. CLASSIC strikes the perfect balance between flavor and potency with its 75% concentration, delivering a satisfying experience for enthusiasts. <br><br>Now featuring our new packaging and rebranding, CLASSIC also boasts an increased tank volume from 0.5 ml to 1 ml, ensuring longer-lasting enjoyment. Discover why CLASSIC remains the go-to choice for cannabis connoisseurs.</p>
<ul>
<li>
<p>Medical-Grade Stainless Steel Core<br></p>
</li>
<li>
<p>Ceramic heating</p>
</li>
<li>
<p>High-Quality build<br></p>
</li>
<li>
<p>Slim and Lightweight design</p>
</li>
<li>
<p>Lab certified, premium T9HC liquid</p>
</li>
<li>
<p><span data-mce-fragment=""1"">Rechargeable</span></p>
</li>
<li>
<p>Shelf life: 1 year</p>
</li>
<li>THC Content: &lt;0.2%</li>
</ul>",Nine Realms®,Diffuser,True,40.0,40.0,//cdn.shopify.com/s/files/1/0679/0581/4826/files/9R_DIFFUSER_CLASSIC_V2_1_front_guava.jpg?v=1785147692,10-OH-HHC|10-OH-HHCP|CLASSIC|diffuser|HHC|T9HC|THC|thcp,,,False,False,0,
9realms:9804786008401,9realms,classic-edibles,CLASSIC Gummies,https://9realms.eu/products/classic-edibles,"<p>Elevate your routine with Nine Realms CLASSIC Gummies. Offering a harmonious and well-balanced strength, CLASSIC delivers a perfectly calibrated experience for those who appreciate a reliable and versatile choice. Experience the timeless blend of potency and sophistication in every encounter.</p>
<ul>
<li>100% Organic &amp; Vegan</li>
<li>Strength: High Potency</li>
<li>Volume: 10 Pieces</li>
<li>Infusion: Lab tested, premium T9HC<br>
</li>
<li>THC Content: &lt;0.2 %</li>
</ul>",Nine Realms,Edibles,True,35.0,35.0,//cdn.shopify.com/s/files/1/0679/0581/4826/files/9R_EDIBLES_CLASSIC.jpg?v=1785142994,10-OH-HHC|10-OH-HHCP|CLASSIC|gummies|HHC|T9HC|THC|thcp,,,False,False,0,
9realms:9729472135505,9realms,classic-prerolls,CLASSIC PRE-ROLLS,https://9realms.eu/products/classic-prerolls,"<p><meta charset=""UTF-8""><span>Experience a balanced high with our CLASSIC pre-rolled joints, blending the renowned Amnesia strain with T9HC at a 40% concentration. These joints strike the perfect middle ground, offering a well-rounded and satisfying effect that’s neither too intense nor too mild. Pre-rolled and ready to smoke, just light one up and enjoy the balanced blend of relaxation and elevation. Available in 3 or 5-piece jars.</span><span></span></p>
<p><strong>Strain</strong>: Amnesia</p>
<p><strong>Weight</strong>: 1.1g per joint </p>
<p><strong>THC Content:</strong> &lt;0.2% </p>",Nine Realms®,Pre-Roll,True,35.0,35.0,//cdn.shopify.com/s/files/1/0679/0581/4826/files/9R_PRE-ROLLS_CLASSIC_3pcs_open_new.jpg?v=1785152751,10-OH-HHC|CLASSIC|HHC|Pre-Roll|T9HC|THC|thcp,,,False,False,0,
9realms:9400720490833,9realms,gelato-x-40,GELATO X 30%,https://9realms.eu/products/gelato-x-40,"<p class=""whitespace-pre-wrap break-words"">Immerse yourself in the luxurious world of GELATO, our latest masterpiece in the realm of cannabis innovation. This exquisite flower product showcases the beloved Gelato strain, now elevated to new heights with a potent 30% concentration of T9HC.</p>",Nine Realms®,Flower,True,30.0,30.0,//cdn.shopify.com/s/files/1/0679/0581/4826/files/NEW-9R-GELATO-Flower-3g.jpg?v=1785159154,10-OH-HHC|10-OH-HHCP|CLASSIC|Flower|HHC|T9HC|thcp,,,False,False,0,
9realms:8879704375633,9realms,lemon-cookies,LEMON COOKIES x 40%,https://9realms.eu/products/lemon-cookies,"<p><span>Discover the extraordinary blend of tradition and innovation with our Lemon Cookies T9HC Flower. Meticulously cultivated to meet the legal THC limits in Europe, this product is a harmonious blend of the beloved Lemon Cookies strain and the groundbreaking alternative cannabinoid, <meta charset=""utf-8"">T9HC.</span></p>
<ul>
<li>
<span style=""font-size: 0.875rem;""><strong>Strain: </strong>Lemon Cookies - Renowned for its refreshing citrus aroma and a sweet, cookie-like flavor profile that promises a delightful sensory experience.</span><br>
</li>
<li><span style=""font-size: 0.875rem;""><strong>THC Content: </strong>&lt;0.2% - Complies with European legal standards - Our product contains THC levels within the legal 0.2% limit, ensuring a responsible and enjoyable experience.</span></li>
<li><span style=""font-size: 0.875rem;""><strong>Concentration:</strong> 40% <meta charset=""utf-8""> <span>T9HC</span> -  high concentration alternative cannabinoid known for effects similar to THC but with a unique twist, elevating the experience.</span></li>
</ul>",Nine Realms®,Flower,True,35.0,35.0,//cdn.shopify.com/s/files/1/0679/0581/4826/files/NEW-9R-LEMON-COOKIES-Flower-3g.jpg?v=1785154966,10-OH-HHCP|Flower|PRO|T9HC|thcp,,,False,False,0,
9realms:8879710732625,9realms,og-kush,OG KUSH X 20%,https://9realms.eu/products/og-kush,"<p data-mce-fragment=""1"">Experience the exceptional with our OG Kush T9HC Flower, a premium blend that brings together the classic OG Kush strain and the new T9HC cannabinoid. This unique product is designed for those who seek a potent cannabis experience, featuring a high concentration of T9HC for a truly unique effect compliant with the European law.</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<strong data-mce-fragment=""1"">Strain:</strong><span data-mce-fragment=""1""> OG Kush - A highly esteemed strain in the cannabis community, OG Kush is celebrated for its complex aroma and a profound, relaxing effect that has become a benchmark for premium cannabis.</span><br data-mce-fragment=""1"">
</li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1""><strong data-mce-fragment=""1"">THC Concentration:</strong> &lt;0.2% - Compliant with European THC regulations and does not exceed the legal 0.2% THC limit, ensuring a safe and legal experience.</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1""><strong data-mce-fragment=""1"">Concentration:</strong> Infused with 20% T9HC, providing a robust and stable effect. T9HCis known for its potency and long-lasting effects, making it a perfect choice for those seeking an optimal experience.</span></li>
</ul>",Nine Realms®,Flower,True,35.0,35.0,//cdn.shopify.com/s/files/1/0679/0581/4826/files/NEW-9R-OG-KUSH-Flower-3g.jpg?v=1785157910,10-OH-HHC|10-OH-HHCP|CLASSIC|Flower|T9HC,,,False,False,0,
9realms:9729511063889,9realms,pro-prerolls,PRO PRE-ROLLS,https://9realms.eu/products/pro-prerolls,"<p><meta charset=""UTF-8""><span>For those seeking a more potent and intense experience, our PRO pre-rolled joints combine the powerful AK47 strain with T9HC at a robust 80% concentration. Designed for the seasoned user, these joints are crafted for easy enjoyment—simply spark and savor the bold, immersive experience. Available in jars of 3 or 5 pieces, they offer a full-bodied high that’s perfect for those who want to elevate their experience to the next level.</span></p>
<p><strong>Strain</strong>: AK-47</p>
<p><strong>Weight</strong>: 1.1g per joint</p>
<p><strong>THC Content:</strong> &lt;0.2% </p>",Nine Realms®,Pre-Roll,True,35.0,35.0,//cdn.shopify.com/s/files/1/0679/0581/4826/files/9R_PRE-ROLLS_PRO_3pcs_open_new.jpg?v=1785153960,10-OH-HHCP|Pre-Roll|PRO|T9HC|THC|thcp,,,False,False,0,
9realms:10231936123217,9realms,purple-haze-x-10,PURPLE HAZE X 30%,https://9realms.eu/products/purple-haze-x-10,"<p data-pm-slice=""1 1 []""><span><strong></strong></span>Discover the Nine Realms Advantage with our Purple Haze x T9HC 30% flower, blending classic genetics and cutting-edge cannabinoid science. This premium, compliant hemp product is ideal for users looking for enhanced focus, vitality, and a refined, enjoyable experience.<span></span></p>",Nine Realms,Flower,True,35.0,35.0,//cdn.shopify.com/s/files/1/0679/0581/4826/files/9R-PURPLE-HAZE-Flower-3g.jpg?v=1785158704,10-OH-HHC|CLASSIC|Flower|HHC|T9HC,,,False,False,0,
9realms:9981068673361,9realms,silver-haze,SILVER HAZE X 10%,https://9realms.eu/products/silver-haze,"<p data-pm-slice=""1 1 []""><span><strong>Experience the Nine Realms Difference</strong></span><span> Our </span><span><strong>Silver Haze x T9HC 10%</strong></span><span> flower combines old-school genetics with modern cannabinoid innovation to bring you a high-quality, legally compliant hemp experience. Perfect for those seeking clarity, energy, and smooth enjoyment.</span></p>",Nine Realms,Flower,True,35.0,35.0,//cdn.shopify.com/s/files/1/0679/0581/4826/files/NEW-9R-SILVER-Haze-Flower-3g.jpg?v=1785935057,10-OH-HHC|Flower|HHC|LIGHT|T9HC,,,False,False,0,
9realms:9312086982993,9realms,svart-thc-gummies,SVART Gummies,https://9realms.eu/products/svart-thc-gummies,"<p data-mce-fragment=""1"">SVART <a href=""/collections/thc-gummies"" title=""Nine Realms THC Edibles"" rel=""noopener"" target=""_blank"">THC edibles</a> are perfect for those new to cannabis, providing a carefully crafted low potency option for a unique journey through the endocannabinoid system.</p>
<p data-mce-fragment=""1"">Enjoy the perfect combination of sweetness and potency with each bite of Nine Realms ""SVART"" edibles. With its delicious fruit flavors and carefully measured dose of lab tested THC, this product is ideal for those seeking a full spectrum effect while maintaining a mindful and controlled approach.<br></p>
<ul>
<li>
<p>100% Organic &amp; Vegan</p>
</li>
<li>
<p>5 mg/pcs or 15 mg/pcs</p>
</li>
<li>
<p>Low Potency</p>
</li>
<li>
<p>Volume: 30 gummies or 20 gummies</p>
</li>
<li>
<p><a href=""/pages/lab-results"" title=""Nine Realms Cannabinoid Analyses"" rel=""noopener noreferrer"" target=""_blank"">Lab certified</a></p>
</li>
<li>
<p>Shelf life: 1 year</p>
</li>
<li>THC Content: &lt;0.2%</li>
</ul>",Nine Realms®,Edibles,True,25.0,25.0,//cdn.shopify.com/s/files/1/0679/0581/4826/files/SVART_THC_Nine_Realms_Gummies_Product.jpg?v=1785143187,black-friday|gummies|THC,,,False,False,0,
