id,product_id,name,sku,price,compare_at_price,available,weight_value,weight_unit,image_url
frozenhashish:9259,frozenhashish:9256,25g,FH-9259,190,190,True,25,grams,https://frozenhashish.com/wp-content/uploads/2026/08/CALI-PLATES-DRY-SIFT-HASH-70-130U.jpg
frozenhashish:9260,frozenhashish:9256,50g,FH-9260,330,330,True,50,grams,https://frozenhashish.com/wp-content/uploads/2026/08/CALI-PLATES-DRY-SIFT-HASH-70-130U.jpg
frozenhashish:9261,frozenhashish:9256,100g,FH-9261,600,600,True,100,grams,https://frozenhashish.com/wp-content/uploads/2026/08/CALI-PLATES-DRY-SIFT-HASH-70-130U.jpg
frozenhashish:7626,frozenhashish:7625,50g,FH-7626,400,400,True,50,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Double-D-Hash.png
frozenhashish:7627,frozenhashish:7625,100g,FH-7627,780,780,True,100,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Double-D-Hash.png
frozenhashish:7628,frozenhashish:7625,250g,FH-7628,1900,1900,True,250,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Double-D-Hash.png
frozenhashish:7629,frozenhashish:7625,500g,FH-7629,3780,3780,True,500,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Double-D-Hash.png
frozenhashish:7621,frozenhashish:7620,50g,FH-7621,400,400,True,50,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-El-Fuego-Dry-Sift-Hash.webp
frozenhashish:7622,frozenhashish:7620,100g,FH-7622,780,780,True,100,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-El-Fuego-Dry-Sift-Hash.webp
frozenhashish:7623,frozenhashish:7620,250g,FH-7623,1900,1900,True,250,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-El-Fuego-Dry-Sift-Hash.webp
frozenhashish:7624,frozenhashish:7620,500g,FH-7624,3780,3780,True,500,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-El-Fuego-Dry-Sift-Hash.webp
frozenhashish:7611,frozenhashish:7610,50g,FH-7611,400,400,True,50,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Forbidden-Fruit-Hash.webp
frozenhashish:7612,frozenhashish:7610,100g,FH-7612,780,780,True,100,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Forbidden-Fruit-Hash.webp
frozenhashish:7613,frozenhashish:7610,250g,FH-7613,1900,1900,True,250,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Forbidden-Fruit-Hash.webp
frozenhashish:7614,frozenhashish:7610,500g,FH-7614,3780,3780,True,500,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Forbidden-Fruit-Hash.webp
frozenhashish:7599,frozenhashish:7598,50g,FH-7599,400,400,True,50,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Fruitcake-Hash.png
frozenhashish:7600,frozenhashish:7598,100g,FH-7600,780,780,True,100,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Fruitcake-Hash.png
frozenhashish:7608,frozenhashish:7598,250g,FH-7608,1900,1900,True,250,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Fruitcake-Hash.png
frozenhashish:7609,frozenhashish:7598,500g,FH-7609,3780,3780,True,500,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Fruitcake-Hash.png
frozenhashish:7594,frozenhashish:7593,50g,FH-7594,400,400,True,50,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-GMO-Dry-Sift-Hash.webp
frozenhashish:7595,frozenhashish:7593,100g,FH-7595,780,780,True,100,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-GMO-Dry-Sift-Hash.webp
frozenhashish:7596,frozenhashish:7593,250g,FH-7596,1900,1900,True,250,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-GMO-Dry-Sift-Hash.webp
frozenhashish:7597,frozenhashish:7593,500g,FH-7597,3980,3980,True,500,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-GMO-Dry-Sift-Hash.webp
frozenhashish:7589,frozenhashish:7588,50g,FH-7589,400,400,True,50,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Gorilla-Dry-Sift-Hash.webp
frozenhashish:7590,frozenhashish:7588,100g,FH-7590,780,780,True,100,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Gorilla-Dry-Sift-Hash.webp
frozenhashish:7591,frozenhashish:7588,250g,FH-7591,1900,1900,True,250,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Gorilla-Dry-Sift-Hash.webp
frozenhashish:7592,frozenhashish:7588,500g,FH-7592,3780,3780,True,500,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Gorilla-Dry-Sift-Hash.webp
frozenhashish:7584,frozenhashish:7583,50g,FH-7584,400,400,True,50,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Gush-Mints-Hash.webp
frozenhashish:7585,frozenhashish:7583,100g,FH-7585,780,780,True,100,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Gush-Mints-Hash.webp
frozenhashish:7586,frozenhashish:7583,250g,FH-7586,1900,1900,True,250,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Gush-Mints-Hash.webp
frozenhashish:7587,frozenhashish:7583,500g,FH-7587,3780,3780,True,500,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Gush-Mints-Hash.webp
frozenhashish:7579,frozenhashish:7578,50g,FH-7579,445,445,True,50,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Horchata-Hash.webp
frozenhashish:7580,frozenhashish:7578,100g,FH-7580,870,870,True,100,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Horchata-Hash.webp
frozenhashish:7581,frozenhashish:7578,250g,FH-7581,2190,2190,True,250,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Horchata-Hash.webp
frozenhashish:7582,frozenhashish:7578,500g,FH-7582,4400,4400,True,500,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Horchata-Hash.webp
frozenhashish:7574,frozenhashish:7573,50g,FH-7574,445,445,True,50,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Cherry-Pie-Strain-Hash.jpg
frozenhashish:7575,frozenhashish:7573,100g,FH-7575,870,870,True,100,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Cherry-Pie-Strain-Hash.jpg
frozenhashish:7576,frozenhashish:7573,250g,FH-7576,2190,2190,True,250,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Cherry-Pie-Strain-Hash.jpg
frozenhashish:7577,frozenhashish:7573,500g,FH-7577,4400,4400,True,500,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Cherry-Pie-Strain-Hash.jpg
frozenhashish:7572,frozenhashish:7572,Default,FH-7572,0,0,False,,,
frozenhashish:7563,frozenhashish:7562,50g,FH-7563,445,445,True,50,grams,https://frozenhashish.com/wp-content/uploads/2026/07/Cali-Plates-Apple-Fritter-Hash.jpg
