source_id,source_url,name,price,compare_at_price,categories,image_url,concentration,form,storage_requirements
peptide:6b881e89152154d7daa6a3fd8ad6d806,https://limitlesslifenootropics.com/product/anti-wrinkle-research-formula/,Age Defying Wrinkle Reduction Cream,,,Dermatological Research|Formulas,https://cdn11.bigcommerce.com/s-abfevmkahe/images/stencil/500x250/products/159/1074/AGE_DEFYING_CREAM__55700.1763083617.png?c=1,,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:bcfc671d917c066137daf010b8204496,https://limitlesslifenootropics.com/product/anti-wrinkle-research-serum/,Age Defying Wrinkle Reduction Serum,,,Dermatological Research|Formulas,https://cdn11.bigcommerce.com/s-abfevmkahe/images/stencil/500x250/products/165/1122/Serum__65114.1780323986.png?c=1,,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:2b35d4f9791db0b1112547d006fc79c9,https://limitlesslifenootropics.com/product/ghk-basic/,GHK Basic 100mg,,,Dermatological Research|Tissue Regeneration Research,https://cdn11.bigcommerce.com/s-abfevmkahe/images/stencil/500x250/products/211/838/GHK_BASIC_100MG_.SINGLE.VIAL__32699.1762208592.png?c=1,100mg,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:0b2f1daa0474622895690274f0f39cf5,https://limitlesslifenootropics.com/product/ghk-cu/,GHK-Cu (Copper Peptide),,,Dermatological Research,https://cdn11.bigcommerce.com/s-abfevmkahe/images/stencil/500x250/products/142/839/GHK-CU_100MG_.SINGLE.VIAL__54194.1762208846.png?c=1,,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:da8ed89c1816e1771d4f71ae8925a6fa,https://limitlesslifenootropics.com/product/ghk-cu-capsules-2mg/,GHK-Cu Capsules,,,Dermatological Research|Peptide Capsules,https://cdn11.bigcommerce.com/s-abfevmkahe/images/stencil/500x250/products/233/897/GHK-CU_2MG_CAPSULES__28085.1762297853.png?c=1,,Capsules,Store according to the supplier documentation. Research use only.
peptide:b885d37da8fea194a0d2b44582949720,https://limitlesslifenootropics.com/product/ghk-cu-spray/,GHK-Cu Spray,,,Dermatological Research|Sprays,https://cdn11.bigcommerce.com/s-abfevmkahe/images/stencil/500x250/products/243/912/GHK-CU_100MG_SPRAY__15112.1762299691.png?c=1,,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:a3a5201274f35b91a6a3ce0c9a527eab,https://limitlesslifenootropics.com/glow-blend/,Glow Blend,,,Dermatological Research|Musculoskeletal Research|Peptide Blends,https://cdn11.bigcommerce.com/s-abfevmkahe/images/stencil/500x250/products/488/1105/GLOWBLEND__03577.1769636044.png?c=1,,Lyophilized blend,Store according to the supplier documentation. Research use only.
peptide:f2ec51f4ae505aed137974e6aa653ef7,https://limitlesslifenootropics.com/glow-blend-spray/,Glow Blend Spray,,,Dermatological Research|Musculoskeletal Research|Peptide Blends,https://cdn11.bigcommerce.com/s-abfevmkahe/images/stencil/500x250/products/489/1108/GLOW_BLEND_SPRAY__39078.1770134309.png?c=1,,Lyophilized blend,Store according to the supplier documentation. Research use only.
peptide:4456d6cc37c101a269e6f0fce68867ae,https://limitlesslifenootropics.com/product/dsip-delta-sleep-inducing-peptide/,DSIP Delta Sleep-Inducing Peptide,,,Circadian Research|Cognitive Research,https://cdn11.bigcommerce.com/s-abfevmkahe/images/stencil/500x250/products/150/836/DSIP_5MG_.SINGLE.VIAL__49900.1762208512.png?c=1,,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:183a238c0fc9e1f2ce071c4d4e079ab6,https://limitlesslifenootropics.com/product/dsip-spray/,DSIP Spray,,,Circadian Research|Sprays,https://cdn11.bigcommerce.com/s-abfevmkahe/images/stencil/500x250/products/239/910/DSIP_5MG_SPRAY__72017.1762299401.png?c=1,,Lyophilized powder,Store according to the supplier documentation. Research use only.
