source_id,source_url,name,price,compare_at_price,categories,image_url,concentration,form,storage_requirements
peptide:a518bd5fd460f38ab95eb2367e94bd38,https://www.corepeptides.com/peptides/abp-7-10mg/,ABP-7 – 10MG,92.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2024/05/ABP-7-10mg-300x300-261x.jpg,10MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:2b9b8a582f2e80fa4d571f7949567448,https://www.corepeptides.com/peptides/ace-031-1mg/,ACE-031 – 1MG,173.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2022/01/ACE-031-1mg-265x265.jpg,1MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:ede2252d5a9744647881c6e2c9f3a3c3,https://www.corepeptides.com/peptides/acetyl-hexapeptide-3-argireline-topical-200mg/,Acetyl Hexapeptide-3 (Argireline) – 200MG,226.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2023/04/ACETYL-HEXAPEPTIDE-3-200mg-265x265.jpg,200MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:1f6e850bb5d47a9c9dc1e5ae8f208845,https://www.corepeptides.com/peptides/adipotide-10mg/,Adipotide (FTPP) – 10MG,78.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2020/04/Adipotide-FTPP-10MG-265x265.jpg,10MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:a27533a1df29893d7ab25a9c6fa7b52d,https://www.corepeptides.com/peptides/ahk-cu-topical-200mg/,AHK-Cu – 200MG,203.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2023/04/AHK-Cu-200mg-265x265.jpg,200MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:0874c3add8eae183a70138ff4dc4c7ff,https://www.corepeptides.com/peptides/aicar-50mg/,AICAR – 50MG,62.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2023/03/AICAR-50mg-265x265.jpg,50MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:8f5e0fec299eef352f12793dcbb54c49,https://www.corepeptides.com/peptides/aod-9604-5mg/,AOD 9604 – 5MG,41.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2020/04/AOD-9604-5MG-265x265.jpg,5MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:4cbbe2f41a2482fba325052db972ffe8,https://www.corepeptides.com/peptides/ara-290-16mg/,ARA-290 – 16MG,92.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2021/12/ARA-290-16mg-265x265.jpg,16MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:17ea5a2d8a79075247eb50cfe2af9b65,https://www.corepeptides.com/peptides/b7-33-6mg/,B7-33 – 6MG,60.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2022/01/B7-33-265x265.webp,6MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:589bf1a5fbdf5c0d795b32076fe7e42c,https://www.corepeptides.com/peptides/bpc-157/,BPC-157 – 5MG / 10MG,97.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2020/04/BPC-157-265x265.jpg,5MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
