id,product_id,title,sku,available,price,compare_at_price,option1,option2,option3,featured_image,weight_value,weight_unit,inventory_quantity,thc_percent,coa_url
9realms:49163083415889,9realms:9366431859025,🍑 Peach,9R-V-C-1,False,40.0,40.0,🍑 Peach,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/9R_DIFFUSER_CLASSIC_V2_1_front_peach.jpg?v=1785148208,,,,,
9realms:49163089805649,9realms:9366431859025,🍐 Guava,9R-V-C-2,True,40.0,40.0,🍐 Guava,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/9R_DIFFUSER_CLASSIC_V2_1_front_guava.jpg?v=1785147692,,,,,
9realms:49163089838417,9realms:9366431859025,🥭 Mango,9R-V-C-3,True,40.0,40.0,🥭 Mango,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/9R_DIFFUSER_CLASSIC_V2_1_front_mango.jpg?v=1785148196,,,,,
9realms:50056429306193,9realms:9804786008401,Default Title,9R-ED-C,True,35.0,35.0,Default Title,,,,,,,,
9realms:49798346801489,9realms:9729472135505,3 PCS.,9R-F-PR-CLASSIC-3,True,35.0,35.0,3 PCS.,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/9R_PRE-ROLLS_CLASSIC_3pcs_open_new.jpg?v=1785152751,,,,,
9realms:49798346834257,9realms:9729472135505,5 PCS.,9R-F-PR-CLASSIC-5,True,45.0,45.0,5 PCS.,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/9R_PRE-ROLLS_CLASSIC_5pcs_open_new.jpg?v=1785153104,,,,,
9realms:49238637216081,9realms:9400720490833,3G,9R-F-H-V2-3,True,30.0,30.0,3G,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/NEW-9R-GELATO-Flower-3g.jpg?v=1785159154,,,,,
9realms:49238637248849,9realms:9400720490833,5G,9R-F-H-V2-5,True,45.0,45.0,5G,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/NEW-9R-GELATO-Flower-5g.jpg?v=1785159148,,,,,
9realms:49238637281617,9realms:9400720490833,10G,9R-F-H-V2-10,True,70.0,70.0,10G,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/NEW-9R-GELATO-Flower-10g.jpg?v=1785159159,,,,,
9realms:47760193028433,9realms:8879704375633,3G,9R-F-TP-10-3,True,35.0,35.0,3G,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/NEW-9R-LEMON-COOKIES-Flower-3g.jpg?v=1785154966,,,,,
9realms:47760193061201,9realms:8879704375633,5G,9R-F-TP-10-5,True,55.0,55.0,5G,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/NEW-9R-LEMON-COOKIES-Flower-5g.jpg?v=1785155205,,,,,
9realms:47760193093969,9realms:8879704375633,10G,9R-F-TP-10-10,True,85.0,85.0,10G,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/NEW-9R-LEMON-COOKIES-Flower-10g.jpg?v=1785155213,,,,,
9realms:47760223011153,9realms:8879710732625,3G,9R-F-H2-20-3,True,35.0,35.0,3G,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/NEW-9R-OG-KUSH-Flower-3g.jpg?v=1785157910,,,,,
9realms:47760223043921,9realms:8879710732625,5G,9R-F-H2-20-5,True,50.0,50.0,5G,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/NEW-9R-OG-KUSH-Flower-5g.jpg?v=1785157917,,,,,
9realms:47760223076689,9realms:8879710732625,10G,9R-F-H2-20-10,True,75.0,75.0,10G,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/NEW-9R-OG-KUSH-Flower-10g.jpg?v=1785157905,,,,,
9realms:49798492553553,9realms:9729511063889,3 PCS.,9R-F-PR-PRO-3,True,35.0,35.0,3 PCS.,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/9R_PRE-ROLLS_PRO_3pcs_open_new.jpg?v=1785153960,,,,,
9realms:49798492586321,9realms:9729511063889,5 PCS.,9R-F-PR-PRO-5,True,50.0,50.0,5 PCS.,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/9R_PRE-ROLLS_PRO_5pcs_open_new.jpg?v=1785153954,,,,,
9realms:51454497489233,9realms:10231936123217,3G,9R-F-H-V2-PH-3,True,35.0,35.0,3G,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/9R-PURPLE-HAZE-Flower-3g.jpg?v=1785158704,,,,,
9realms:51454497522001,9realms:10231936123217,5G,9R-F-H-V2-PH-5,True,55.0,55.0,5G,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/9R-PURPLE-HAZE-Flower-5g.jpg?v=1785158710,,,,,
9realms:51454497554769,9realms:10231936123217,10G,9R-F-H-V2-PH-10,True,80.0,80.0,10G,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/9R-PURPLE-HAZE-Flower-10g.jpg?v=1785158718,,,,,
9realms:50652492071249,9realms:9981068673361,3G,9R-F-H-V2-X-3,True,35.0,35.0,3G,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/NEW-9R-SILVER-Haze-Flower-3g.jpg?v=1785935057,,,,,
9realms:50652492104017,9realms:9981068673361,5G,9R-F-H-V2-X-5,True,55.0,55.0,5G,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/NEW-9R-SILVER-Haze-Flower-5g.jpg?v=1785935066,,,,,
9realms:50652492136785,9realms:9981068673361,10G,9R-F-H-V2-X-10,True,80.0,80.0,10G,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/NEW-9R-SILVER-Haze-Flower-10g.jpg?v=1785935040,,,,,
9realms:53420688015697,9realms:9312086982993,150MG,9R-ED-SVRT,True,25.0,25.0,150MG,,,,,,,,
9realms:53420688048465,9realms:9312086982993,300MG,9R-ED-SVRT-MAX,True,40.0,40.0,300MG,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/Nine_Realms_SVART_MAX_THC_Gummies_product_photo.jpg?v=1785141352,,,,,
9realms:47760195912017,9realms:8879705162065,3G,9R-F-TP-5-3,False,35.0,35.0,3G,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/NEW-9R-WHITE-WIDOW-Flower-3g.jpg?v=1770033749,,,,,
9realms:47760195944785,9realms:8879705162065,5G,9R-F-TP-5-5,False,50.0,50.0,5G,,,https://cdn.shopify.com/s/files/1/0679/0581/4826/files/NEW-9R-WHITE-WIDOW-Flower-5g.jpg?v=1770033745,,,,,
