source_id,sku,name,brand_name,compliance_category,sub_type,cannabis_type,weight_formatted,price,quantity,is_active,image_count
701f881eb27623ff,850012603351,Juicy Peach x Mimosa | 100mg | 10pk,Lost Farm,edibles,Gummies | Chews,sativa,100mg,30,19,True,1
54fa4ce7438b8437,,Twisted Cookies | Flower | 3.5g,Zizzle,flower,Full Bud,hybrid_sativa,3.5g,48,17,True,1
c572f1dddea61850,355750341324,White Peach (Fast Acting) | 10mg | 10pk,CANNABALS,edibles,Gummies | Chews,sativa,100mg,22,46,True,1
fd387f302c417b6a,,Stratus Silicone 14mm Bowl,Stratus,accessories,Bongs/pipes,,,10,272,True,1
f09fbca55e3c26f6,,OOZE Honey Pot Silicone Containers,OOZE,accessories,Storage,na,,4,65,True,1
19bccf7f56866b73,,Extendible Jar,,accessories,Storage,,,11,5,True,1
15a8e9c8332c57a8,,Raw Perfecto Cone Tips 100ct,Raw,accessories,Papers,na,,10,32,True,1
a8d879010f91390d,716165177111,6pk RAW 1 1/4 Size Cone Classic,Raw,accessories,Papers,,,6,188,True,1
91cae1c9846e7db3,,6pk HEMP RAW 1 1/4 Cone,Raw,accessories,Papers,na,,6,119,True,1
00b221187416b837,,Pineapple Express | 1g | Era Pod | Live Rosin W/ Diamonds,Pax,vaporizers,Live Rosin/resin Pod,sativa,1g,88,13,True,1
f9c3b9b0943a9401,850052046057,Protab | Extra Strength | Indica | 5ct 20mg Tablets | 100mg THC,LEVEL,edibles,Tablets,indica,100mg,24,9,True,1
97b757777793d9a4,850052046071,Protab+ | LIGHTS OUT | 5ct 20mg Tablets | 100mg THC+CBN+CBG,LEVEL,edibles,Tablets,indica,100mg,24,2,True,1
05b028b76e515b8d,850049967044,Blueberry Kush | 510 Cart | 1g,Jaunty,vaporizers,Cart,indica,1g,45,40,True,1
95ae9777e8b5d9b3,,DO-SI-DO | 1g 510 Cartridge,Hepworth,vaporizers,Cart,hybrid_indica,1g,33,35,True,1
e1df73dc2a6b0db8,HDBEANBLK01,Happy Days Black Beanie | Hat,Happy Days,accessories,Apparel,,,15,49,True,1
8a61b978e5cb3efa,,Mushroom Smell Proof Lockable Wristlet with Built in Combination Lock Blue,,accessories,Apparel,,,30,1,True,1
2832acdc28d1384e,,Triple Chamber Bubbler,MASTER DISTRO,accessories,Bongs/pipes,,,75,1,True,1
6de3a71f736ca786,,Six Chamber Bubbler,MASTER DISTRO,accessories,Bongs/pipes,,,125,6,True,1
d660eae5a3bd7f68,,Double Chamber Bubbler,Happy Days,accessories,Bongs/pipes,,,50,11,True,1
9afa75d48d1b28c8,,"Glass Pipe 5""",MASTER DISTRO,accessories,Bongs/pipes,,,35,224,True,1
159ea6c92886cf36,HDSSTSHIRTVC01,Happy Days T-Shirts (Various Colors),Happy Days,accessories,Apparel,,,25,96,True,5
41167b263cd46695,,Glass One Hitter (Assorted Colors),MASTER DISTRO,accessories,Bongs/pipes,,,6,182,True,1
cd161e3b2e8ed0d0,,PM Insentives Terpene Spray (THC-Free),Chime & Chill,merchandise,Cbd,,,20,5,True,1
5d81440c9f5b4a81,,AM SPA Soak CBD:CBG (THC-Free),Chime & Chill,merchandise,Cbd,,,30,10,True,1
a3a56186fe7a3c63,,PM SPA Soak CBD:CBN (THC-Free),Chime & Chill,merchandise,Cbd,,,30,2,True,1
